f,developers,prob,agg
-0.05,1032,0.02430809092,0.02430809092
-0.04,444,0.01045813214,0.03476622306
-0.03,264,0.00621834884,0.0409845719
-0.02,295,0.006948533742,0.04793310564
-0.01,269,0.006336120598,0.05426922624
0,265,0.006241903192,0.06051112943
0.01,303,0.007136968555,0.06764809799
0.02,330,0.00777293605,0.07542103404
0.03,414,0.00975150159,0.08517253563
0.04,513,0.0120833824,0.09725591803
0.05,506,0.01191850194,0.10917442
0.06,576,0.01356730656,0.1227417265
0.07,699,0.01646449181,0.1392062183
0.08,797,0.01877281828,0.1579790366
0.09,796,0.01874926393,0.1767283006
0.1,903,0.02126957955,0.1979978801
0.11,995,0.02343657991,0.22143446
0.12,1107,0.02607466729,0.2475091273
0.13,1089,0.02565068896,0.2731598163
0.14,1193,0.02810034154,0.3012601578
0.15,1163,0.02739371099,0.3286538688
0.16,1256,0.02958426569,0.3582381345
0.17,1281,0.03017312448,0.388411259
0.18,1242,0.02925450477,0.4176657637
0.19,1229,0.0289482982,0.4466140619
0.2,1225,0.02885408079,0.4754681427
0.21,1206,0.02840654811,0.5038746908
0.22,1166,0.02746437404,0.5313390649
0.23,1187,0.02795901543,0.5592980803
0.24,1131,0.02663997173,0.5859380521
0.25,1057,0.02489694971,0.6108350018
0.26,1035,0.02437875397,0.6352137557
0.27,996,0.02346013426,0.65867389
0.28,934,0.02199976446,0.6806736545
0.29,839,0.01976210105,0.7004357555
0.3,808,0.01903191615,0.7194676717
0.31,749,0.0176422094,0.7371098811
0.32,743,0.01750088329,0.7546107643
0.33,670,0.01578141562,0.77039218
0.34,656,0.01545165469,0.7858438346
0.35,571,0.0134495348,0.7992933695
0.36,559,0.01316688258,0.812460252
0.37,498,0.01173006713,0.8241903192
0.38,442,0.01041102344,0.8346013426
0.39,439,0.01034036038,0.844941703
0.4,380,0.008950653633,0.8538923566
0.41,379,0.008927099282,0.8628194559
0.42,315,0.007419620775,0.8702390767
0.43,353,0.008314686138,0.8785537628
0.44,294,0.00692497939,0.8854787422
0.45,284,0.006689435873,0.8921681781
0.46,289,0.006807207632,0.8989753857
0.47,243,0.005723707455,0.9046990932
0.48,218,0.005134848663,0.9098339418
0.49,206,0.004852196443,0.9146861383
0.5,190,0.004475326817,0.9191614651
0.51,168,0.00395713108,0.9231185962
0.52,176,0.004145565893,0.9272641621
0.53,150,0.00353315275,0.9307973148
0.54,151,0.003556707102,0.9343540219
0.55,132,0.00310917442,0.9374631963
0.56,113,0.002661641738,0.9401248381
0.57,117,0.002755859145,0.9428806972
0.58,111,0.002614533035,0.9454952302
0.59,96,0.00226121776,0.947756448
0.6,87,0.002049228595,0.9498056766
0.61,95,0.002237663408,0.95204334
0.62,73,0.001719467672,0.9537628077
0.63,81,0.001907902485,0.9556707102
0.64,87,0.002049228595,0.9577199388
0.65,63,0.001483924155,0.9592038629
0.66,78,0.00183723943,0.9610411023
0.67,71,0.001672358968,0.9627134613
0.68,50,0.001177717583,0.9638911789
0.69,49,0.001154163232,0.9650453421
0.7,61,0.001436815452,0.9664821576
0.71,54,0.00127193499,0.9677540926
0.72,53,0.001248380638,0.9690024732
0.73,49,0.001154163232,0.9701566364
0.74,44,0.001036391473,0.9711930279
0.75,55,0.001295489342,0.9724885173
0.76,57,0.001342598045,0.9738311153
0.77,47,0.001107054528,0.9749381698
0.78,48,0.00113060888,0.9760687787
0.79,31,0.0007301849017,0.9767989636
0.8,30,0.00070663055,0.9775055942
0.81,43,0.001012837122,0.9785184313
0.82,31,0.0007301849017,0.9792486162
0.83,34,0.0008008479567,0.9800494641
0.84,47,0.001107054528,0.9811565187
0.85,31,0.0007301849017,0.9818867036
0.86,30,0.00070663055,0.9825933341
0.87,29,0.0006830761983,0.9832764103
0.88,26,0.0006124131433,0.9838888235
0.89,29,0.0006830761983,0.9845718997
0.9,40,0.0009421740667,0.9855140737
0.91,28,0.0006595218467,0.9861735956
0.92,28,0.0006595218467,0.9868331174
0.93,25,0.0005888587917,0.9874219762
0.94,20,0.0004710870333,0.9878930632
0.95,24,0.00056530444,0.9884583677
0.96,26,0.0006124131433,0.9890707808
0.97,25,0.0005888587917,0.9896596396
0.98,20,0.0004710870333,0.9901307267
0.99,18,0.00042397833,0.990554705
1,26,0.0006124131433,0.9911671181
1.01,31,0.0007301849017,0.991897303
1.02,25,0.0005888587917,0.9924861618
1.03,22,0.0005181957367,0.9930043576
1.04,27,0.000635967495,0.9936403251
1.05,21,0.000494641385,0.9941349664
1.06,22,0.0005181957367,0.9946531622
1.07,33,0.000777293605,0.9954304558
1.08,20,0.0004710870333,0.9959015428
1.09,26,0.0006124131433,0.996513956
1.1,29,0.0006830761983,0.9971970322
1.11,20,0.0004710870333,0.9976681192
1.12,23,0.0005417500883,0.9982098693
1.13,23,0.0005417500883,0.9987516194
1.14,16,0.0003768696267,0.999128489
1.15,13,0.0003062065717,0.9994346956
1.16,24,0.00056530444,1
,42455,1,2
