,index,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment,Question Text,question_type,motivation_type
0,Q70,65.0,318.0,76.0,58.0,517.0,0.74,0.24,0.27,0.46,0.94,0.53,0.19,0.33,0.62,0.2,-0.03,0.79,0.85,0.07,,My work on the repository is creative,Person in Project,Joy
1,Q98.1,45.0,259.0,59.0,48.0,411.0,0.74,0.23,0.25,0.43,0.91,0.48,0.19,0.3,0.64,0.16,-0.04,0.77,0.82,0.05,,"In the past year, members of my GitHub community expressed interest in my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
2,Q72,96.0,276.0,119.0,27.0,518.0,0.72,0.24,0.42,0.45,0.88,0.78,0.3,0.4,0.54,0.32,-0.06,0.79,0.98,0.13,,I derive satisfaction from working on this repository,Person in Project,Joy
3,Q89,47.0,336.0,59.0,77.0,519.0,0.74,0.24,0.2,0.44,0.86,0.38,0.15,0.26,0.65,0.13,-0.03,0.79,0.73,0.04,,I am satisfied with my performance in software development,Person,
4,Q71.1,62.0,310.0,82.0,61.0,515.0,0.72,0.24,0.28,0.43,0.8,0.5,0.21,0.3,0.62,0.17,-0.05,0.79,0.85,0.05,,Working on this repository is challenging,Project,Challenge
5,Q82,68.0,301.0,92.0,54.0,515.0,0.72,0.24,0.31,0.42,0.79,0.56,0.23,0.32,0.6,0.19,-0.06,0.79,0.89,0.06,,Code quality in the repository improved since a year ago,Project,
6,Q97.1,40.0,261.0,60.0,54.0,415.0,0.73,0.23,0.24,0.4,0.77,0.43,0.19,0.26,0.64,0.13,-0.06,0.77,0.8,0.04,,"In the past year, members of my GitHub community asked questions that show their understanding of my contributions. If you are the only developer in the project, please skip.",Person in Project,Recognition
7,Q73,82.0,280.0,114.0,42.0,518.0,0.7,0.24,0.38,0.42,0.75,0.66,0.29,0.34,0.56,0.24,-0.08,0.79,0.96,0.08,,The repository is important,Project,Importance
8,Q85,53.0,320.0,75.0,71.0,519.0,0.72,0.24,0.25,0.41,0.73,0.43,0.19,0.27,0.63,0.14,-0.06,0.79,0.81,0.04,,I am a relatively productive programmer,Person,
9,Q74,87.0,258.0,136.0,35.0,516.0,0.67,0.24,0.43,0.39,0.65,0.71,0.35,0.34,0.54,0.25,-0.12,0.79,0.99,0.07,,"When I look at what we accomplish, I feel a sense of pride",Person in Project,
10,Q87,75.0,275.0,120.0,49.0,519.0,0.67,0.24,0.38,0.38,0.61,0.6,0.3,0.31,0.56,0.19,-0.11,0.79,0.95,0.05,,I am skilled in software development,Person,
11,Q79,86.0,254.0,139.0,38.0,517.0,0.66,0.24,0.44,0.38,0.59,0.69,0.35,0.33,0.53,0.23,-0.13,0.79,0.99,0.06,,I learn from my contributions,Person in Project,Learning
12,Q88,45.0,320.0,74.0,79.0,518.0,0.7,0.24,0.23,0.38,0.58,0.36,0.19,0.23,0.64,0.1,-0.07,0.79,0.78,0.02,,My code is of high quality,Person,
13,Q75,60.0,212.0,108.0,34.0,414.0,0.66,0.23,0.41,0.36,0.57,0.64,0.34,0.3,0.55,0.19,-0.15,0.77,0.97,0.05,,"Belonging to the  community is motivating my work on the repository. If you are the only developer in the project, please skip.",Person in Project,Community
14,Q71,49.0,282.0,95.0,60.0,486.0,0.68,0.22,0.3,0.34,0.52,0.45,0.25,0.24,0.61,0.11,-0.12,0.77,0.88,0.02,,I contribute to open source due to ideology,Person,Ideology
15,Q91,81.0,251.0,143.0,43.0,518.0,0.64,0.24,0.43,0.36,0.51,0.65,0.36,0.3,0.54,0.2,-0.16,0.79,0.99,0.05,,I enjoy software development very much,Person,Joy
16,Q77,50.0,302.0,90.0,73.0,515.0,0.68,0.24,0.27,0.36,0.5,0.41,0.23,0.23,0.62,0.1,-0.1,0.79,0.84,0.02,,I get recognition due to my contribution to the repository,Person in Project,Recognition
17,Q84,83.0,245.0,149.0,40.0,517.0,0.63,0.24,0.45,0.36,0.5,0.67,0.38,0.31,0.53,0.2,-0.17,0.79,0.99,0.05,,I regularly reach a high level of productivity,Person,
18,Q76,47.0,229.0,91.0,48.0,415.0,0.67,0.23,0.33,0.34,0.49,0.49,0.28,0.25,0.59,0.13,-0.14,0.78,0.92,0.02,,"The community is very professional. If you are the only developer in the project, please skip.",Project,Community
